# x	AxA	BxB	3Ax4B	4Ax3B
-7.758399999999945067e+03 9.999999403775291507e-01 1.000000151861627273e+00 1.000000146708119875e+00 1.000000006120590701e+00
-7.756799999999944703e+03 9.999998995861100193e-01 1.000000165600983815e+00 1.000000149379236314e+00 9.999999838531268281e-01
-7.755199999999944339e+03 9.999999016569152133e-01 1.000000193775642865e+00 1.000000148066153338e+00 9.999999670135599761e-01
-7.753599999999943975e+03 9.999999255175631152e-01 1.000000225824833722e+00 1.000000147861727084e+00 9.999999488428532590e-01
-7.751999999999943611e+03 9.999999587973595894e-01 1.000000234808945399e+00 1.000000143569910183e+00 9.999999351887223220e-01
-7.750399999999943248e+03 9.999999942929610475e-01 1.000000227589574964e+00 1.000000131511508128e+00 9.999999439001435730e-01
-7.748799999999942884e+03 1.000000022242644837e+00 1.000000226940524817e+00 1.000000091992044204e+00 9.999999611424641444e-01
-7.747199999999942520e+03 1.000000025016885452e+00 1.000000228356452414e+00 1.000000043615196343e+00 9.999999739992643244e-01
-7.745599999999942156e+03 1.000000004625408057e+00 1.000000231214975166e+00 9.999999827195747981e-01 9.999999778704461439e-01
-7.743999999999941792e+03 1.000000038016228388e+00 1.000000194589467650e+00 9.999999351933295255e-01 9.999999859727840557e-01
-7.742399999999941429e+03 1.000000068441230905e+00 1.000000150027458456e+00 9.999999134067176776e-01 1.000000013078802708e+00
